Alert ID,Ticker,Name,Description,Time
3970777593,"CME_MINI:MNQ1!, 5m","ORB V5 Bot NY/Asia (500, 2.5, 0.5, 1, 1, 4, 14, 1800-0700, 2000-2015, 2015-2315, 0645-0700, 50, 0.7, 5, 0930-1600, 0930-0945, 0945-1300, 1550-1600, 100, 1.75, 15, 1250-1300, 20250703, 20251128, 20251224, 20250109, 20260119, ): alert() function calls only","{""ticker"": ""MNQ"", ""action"": ""buy"", ""orderType"": ""limit"", ""limitPrice"": 25057.6503485454, ""quantity"": 1, ""sentiment"": ""flat"", ""cancel"": false, ""delay"": 5}",2026-02-11T15:55:00Z
3970777593,"CME_MINI:MNQ1!, 5m","ORB V5 Bot NY/Asia (500, 2.5, 0.5, 1, 1, 4, 14, 1800-0700, 2000-2015, 2015-2315, 0645-0700, 50, 0.7, 5, 0930-1600, 0930-0945, 0945-1300, 1550-1600, 100, 1.75, 15, 1250-1300, 20250703, 20251128, 20251224, 20250109, 20260119, ): alert() function calls only","{""ticker"": ""MNQ"", ""action"": ""exit"", ""quantity"": 1}",2026-02-11T15:55:00Z
3970777593,"CME_MINI:MNQ1!, 5m","ORB V5 Bot NY/Asia (500, 2.5, 0.5, 1, 1, 4, 14, 1800-0700, 2000-2015, 2015-2315, 0645-0700, 50, 0.7, 5, 0930-1600, 0930-0945, 0945-1300, 1550-1600, 100, 1.75, 15, 1250-1300, 20250703, 20251128, 20251224, 20250109, 20260119, ): alert() function calls only","{""ticker"": ""MNQ"", ""action"": ""buy"", ""orderType"": ""stop"", ""stopPrice"": 25247, ""quantity"": 1, ""sentiment"": ""flat"", ""delay"": 3}",2026-02-11T15:55:00Z
3970777593,"CME_MINI:MNQ1!, 5m","ORB V5 Bot NY/Asia (500, 2.5, 0.5, 1, 1, 4, 14, 1800-0700, 2000-2015, 2015-2315, 0645-0700, 50, 0.7, 5, 0930-1600, 0930-0945, 0945-1300, 1550-1600, 100, 1.75, 15, 1250-1300, 20250703, 20251128, 20251224, 20250109, 20260119, ): alert() function calls only","{""ticker"": ""MNQ"", ""action"": ""exit""}",2026-02-11T15:15:00Z
3970777593,"CME_MINI:MNQ1!, 5m","ORB V5 Bot NY/Asia (500, 2.5, 0.5, 1, 1, 4, 14, 1800-0700, 2000-2015, 2015-2315, 0645-0700, 50, 0.7, 5, 0930-1600, 0930-0945, 0945-1300, 1550-1600, 100, 1.75, 15, 1250-1300, 20250703, 20251128, 20251224, 20250109, 20260119, ): alert() function calls only","{""ticker"": ""MNQ"", ""action"": ""sell"", ""quantity"": 3, ""price"": 25248, ""takeProfit"": {""limitPrice"": 25057.6503485454}, ""stopLoss"": {""type"": ""stop"", ""stopPrice"": 25324.1398605818}, ""delay"": 3}",2026-02-11T15:15:00Z
3970777593,"CME_MINI:MNQ1!, 5m","ORB V5 Bot NY/Asia (500, 2.5, 0.5, 1, 1, 4, 14, 1800-0700, 2000-2015, 2015-2315, 0645-0700, 50, 0.7, 5, 0930-1600, 0930-0945, 0945-1300, 1550-1600, 100, 1.75, 15, 1250-1300, 20250703, 20251128, 20251224, 20250109, 20260119, ): alert() function calls only","{""ticker"": ""MNQ"", ""action"": ""exit""}",2026-02-11T04:29:06Z
3970777593,"CME_MINI:MNQ1!, 5m","ORB V5 Bot NY/Asia (500, 2.5, 0.5, 1, 1, 4, 14, 1800-0700, 2000-2015, 2015-2315, 0645-0700, 50, 0.7, 5, 0930-1600, 0930-0945, 0945-1300, 1550-1600, 100, 1.75, 15, 1250-1300, 20250703, 20251128, 20251224, 20250109, 20260119, ): alert() function calls only","{""ticker"": ""MNQ"", ""action"": ""sell"", ""orderType"": ""limit"", ""limitPrice"": 25376.6998838182, ""quantity"": 4, ""sentiment"": ""flat"", ""cancel"": false, ""delay"": 5}",2026-02-11T04:00:00Z
3970777593,"CME_MINI:MNQ1!, 5m","ORB V5 Bot NY/Asia (500, 2.5, 0.5, 1, 1, 4, 14, 1800-0700, 2000-2015, 2015-2315, 0645-0700, 50, 0.7, 5, 0930-1600, 0930-0945, 0945-1300, 1550-1600, 100, 1.75, 15, 1250-1300, 20250703, 20251128, 20251224, 20250109, 20260119, ): alert() function calls only","{""ticker"": ""MNQ"", ""action"": ""sell"", ""orderType"": ""stop"", ""stopPrice"": 25314.25, ""quantity"": 4, ""sentiment"": ""flat"", ""delay"": 3}",2026-02-11T04:00:00Z
3970777593,"CME_MINI:MNQ1!, 5m","ORB V5 Bot NY/Asia (500, 2.5, 0.5, 1, 1, 4, 14, 1800-0700, 2000-2015, 2015-2315, 0645-0700, 50, 0.7, 5, 0930-1600, 0930-0945, 0945-1300, 1550-1600, 100, 1.75, 15, 1250-1300, 20250703, 20251128, 20251224, 20250109, 20260119, ): alert() function calls only","{""ticker"": ""MNQ"", ""action"": ""exit"", ""quantity"": 4}",2026-02-11T04:00:00Z
3970777593,"CME_MINI:MNQ1!, 5m","ORB V5 Bot NY/Asia (500, 2.5, 0.5, 1, 1, 4, 14, 1800-0700, 2000-2015, 2015-2315, 0645-0700, 50, 0.7, 5, 0930-1600, 0930-0945, 0945-1300, 1550-1600, 100, 1.75, 15, 1250-1300, 20250703, 20251128, 20251224, 20250109, 20260119, ): alert() function calls only","{""ticker"": ""MNQ"", ""action"": ""exit""}",2026-02-11T01:50:00Z
3970777593,"CME_MINI:MNQ1!, 5m","ORB V5 Bot NY/Asia (500, 2.5, 0.5, 1, 1, 4, 14, 1800-0700, 2000-2015, 2015-2315, 0645-0700, 50, 0.7, 5, 0930-1600, 0930-0945, 0945-1300, 1550-1600, 100, 1.75, 15, 1250-1300, 20250703, 20251128, 20251224, 20250109, 20260119, ): alert() function calls only","{""ticker"": ""MNQ"", ""action"": ""buy"", ""quantity"": 9, ""price"": 25313.25, ""takeProfit"": {""limitPrice"": 25376.6998838182}, ""stopLoss"": {""type"": ""stop"", ""stopPrice"": 25287.8700464727}, ""delay"": 3}",2026-02-11T01:50:00Z
3970777593,"CME_MINI:MNQ1!, 5m","ORB V5 Bot NY/Asia (500, 2.5, 0.5, 1, 1, 4, 14, 1800-0700, 2000-2015, 2015-2315, 0645-0700, 50, 0.7, 5, 0930-1600, 0930-0945, 0945-1300, 1550-1600, 100, 1.75, 15, 1250-1300, 20250703, 20251128, 20251224, 20250109, 20260119, ): alert() function calls only","{""ticker"": ""MNQ"", ""action"": ""sell"", ""quantity"": 9, ""price"": 25298.75, ""takeProfit"": {""limitPrice"": 25232.8183943496}, ""stopLoss"": {""type"": ""stop"", ""stopPrice"": 25325.1226422601}, ""delay"": 3}",2026-02-10T03:10:00Z
3970777593,"CME_MINI:MNQ1!, 5m","ORB V5 Bot NY/Asia (500, 2.5, 0.5, 1, 1, 4, 14, 1800-0700, 2000-2015, 2015-2315, 0645-0700, 50, 0.7, 5, 0930-1600, 0930-0945, 0945-1300, 1550-1600, 100, 1.75, 15, 1250-1300, 20250703, 20251128, 20251224, 20250109, 20260119, ): alert() function calls only","{""ticker"": ""MNQ"", ""action"": ""exit""}",2026-02-10T03:10:00Z
3970777593,"CME_MINI:MNQ1!, 5m","ORB V5 Bot NY/Asia (500, 2.5, 0.5, 1, 1, 4, 14, 1800-0700, 2000-2015, 2015-2315, 0645-0700, 50, 0.7, 5, 0930-1600, 0930-0945, 0945-1300, 1550-1600, 100, 1.75, 15, 1250-1300, 20250703, 20251128, 20251224, 20250109, 20260119, ): alert() function calls only","{""ticker"": ""MNQ"", ""action"": ""cancel""}",2026-02-09T18:05:00Z
3970777593,"CME_MINI:MNQ1!, 5m","ORB V5 Bot NY/Asia (500, 2.5, 0.5, 1, 1, 4, 14, 1800-0700, 2000-2015, 2015-2315, 0645-0700, 50, 0.7, 5, 0930-1600, 0930-0945, 0945-1300, 1550-1600, 100, 1.75, 15, 1250-1300, 20250703, 20251128, 20251224, 20250109, 20260119, ): alert() function calls only","{""ticker"": ""MNQ"", ""action"": ""exit""}",2026-02-09T15:10:00Z
3970777593,"CME_MINI:MNQ1!, 5m","ORB V5 Bot NY/Asia (500, 2.5, 0.5, 1, 1, 4, 14, 1800-0700, 2000-2015, 2015-2315, 0645-0700, 50, 0.7, 5, 0930-1600, 0930-0945, 0945-1300, 1550-1600, 100, 1.75, 15, 1250-1300, 20250703, 20251128, 20251224, 20250109, 20260119, ): alert() function calls only","{""ticker"": ""MNQ"", ""action"": ""buy"", ""quantity"": 3, ""price"": 25159.75, ""takeProfit"": {""limitPrice"": 25359.1011490242}, ""stopLoss"": {""type"": ""stop"", ""stopPrice"": 25080.0095403903}, ""delay"": 3}",2026-02-09T15:10:00Z